cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure
1018093344100490462-7,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100490324-4,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100640116-5,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100480508-4,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100490378-5,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100640133-6,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100490424-5,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1018093344100490396-5,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1018093344100490487-5,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100630125-5,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100490286-3,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100490362-5,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344102900565-2,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100480490-4,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100630099-4,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
